start_date,end_date,category,title,url
2025-08-01,2025-08-25,공지,[숙대 총동문회] 학위수여식 기념품 배부 안내,https://snowe.sookmyung.ac.kr/bbs5/boards/notice/1195933
2025-08-01,2025-08-13,공지,"[빅데이터혁신융합사업단] 서울시 분석 교육 '빅데이터와 AI 이해 및 활용 (3기)', 'Python을 활용한 빅데이터분석(3기)', 'R을 활용한 빅데이터분석(3기)' 모집 안내",https://snowe.sookmyung.ac.kr/bbs5/boards/notice/1195922
2025-08-01,2025-08-31,학사,[학사] 2025학년도 2학기 학·석사 연계과정 합격자 발표,https://snowe.sookmyung.ac.kr/bbs5/boards/notice/1195920
2025-07-29,2025-08-27,모집,[교수학습센터] 8/27(수)<인공지능 활용의 힘과 윤리적 경계> 워크숍 참여자 모집 안내,https://snowe.sookmyung.ac.kr/bbs5/boards/notice/1195841
2025-07-29,2025-08-31,공지,[관재팀] 시청각기자재실 국가근로장학생 모집,https://snowe.sookmyung.ac.kr/bbs5/boards/notice/1195824
2025-07-22,2025-08-08,장학,2025학년도 1학기 학부 재학생 대상 연구인턴장학금 신청 안내,https://snowe.sookmyung.ac.kr/bbs5/boards/notice/1195682
2025-07-17,2025-08-31,모집,"[교수학습센터] 재학생 대상 워크숍 <엑셀, 첫걸음부터 실무까지> 참여자 모집",https://snowe.sookmyung.ac.kr/bbs5/boards/notice/1195602
2025-07-16,2025-08-27,모집,[교수학습센터] 2025 여름방학 CoreUp 수학·과학 with AI 튜터 프로그램 모집 안내,https://snowe.sookmyung.ac.kr/bbs5/boards/notice/1195562
2025-03-03,2025-08-31,장학,2025-1 외부재단 장학금 직접수혜내역 신고 안내,https://snowe.sookmyung.ac.kr/bbs5/boards/notice/1195507
2025-07-08,2025-08-22,공지,"2025-2 산학협력 현장실습(산학협동교육) 참여학생 모집 (1차: 7/17~7/23, 2차: 8/7~8/12)",https://snowe.sookmyung.ac.kr/bbs5/boards/notice/1195381
2025-07-08,2025-12-05,학사,2025학년도 2학기 휴학 및 복학 안내,https://snowe.sookmyung.ac.kr/bbs5/boards/notice/1195357
2025-07-07,2025-12-11,공지,[인권·성평등센터] 2025년도 학부생 대상 온라인 폭력예방교육 실시 안내,https://snowe.sookmyung.ac.kr/bbs5/boards/notice/1195328
2025-07-07,2026-01-09,학사,[타교생]2025학년도 2학기 국내학점교류 안내,https://snowe.sookmyung.ac.kr/bbs5/boards/notice/1195326
2025-07-02,2025-10-31,학사,[본교생]2025학년도 2학기 학점교류 시행 안내,https://snowe.sookmyung.ac.kr/bbs5/boards/notice/1195202
2025-06-26,2025-08-10,공지,[국제협력팀] 2025 하반기 WEST 참가자 모집 안내,https://snowe.sookmyung.ac.kr/bbs5/boards/notice/1195082